Poison/Grass:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 25), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Fairy/Rock:[('Normal', 50), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 200), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 400), ('Fairy', 100)]
Fighting/Poison:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 50), ('Poison', 50), ('Ground', 200), ('Flying', 200), ('Psychic', 400), ('Bug', 25), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 100)]
Fairy/Water:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 200), ('Grass', 200), ('Ice', 50), ('Fighting', 50), ('Poison', 200), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 100), ('Fairy', 100)]
Flying/Psychic:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 200), ('Grass', 50), ('Ice', 200), ('Fighting', 25), ('Poison', 100), ('Ground', 0), ('Flying', 100), ('Psychic', 50), ('Bug', 100), ('Rock', 200), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Grass/Electric:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 25), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 200), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 200), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Ghost/Psychic:[('Normal', 0), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 0), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 50), ('Bug', 100), ('Rock', 100), ('Ghost', 400), ('Dragon', 100), ('Dark', 400), ('Steel', 100), ('Fairy', 100)]
Dragon/Fairy:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 50), ('Poison', 200), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 200), ('Fairy', 200)]
Water/Fairy:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 200), ('Grass', 200), ('Ice', 50), ('Fighting', 50), ('Poison', 200), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 100), ('Fairy', 100)]
Ghost/Rock:[('Normal', 0), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 200), ('Ice', 100), ('Fighting', 0), ('Poison', 25), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 200), ('Fairy', 100)]
Bug/Rock:[('Normal', 50), ('Fire', 100), ('Water', 200), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Water:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 200), ('Grass', 200), ('Ice', 50), ('Fighting', 100), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Poison/Fire:[('Normal', 100), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 25), ('Ice', 50), ('Fighting', 50), ('Poison', 50), ('Ground', 400), ('Flying', 100), ('Psychic', 200), ('Bug', 25), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 25)]
Ground/Steel:[('Normal', 50), ('Fire', 200), ('Water', 200), ('Electric', 0), ('Grass', 100), ('Ice', 100), ('Fighting', 200), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 50), ('Rock', 25), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 50), ('Fairy', 50)]
Normal/Poison:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 100), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 200), ('Bug', 50), ('Rock', 100), ('Ghost', 0), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Dragon/Normal:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 0), ('Dragon', 200), ('Dark', 100), ('Steel', 100), ('Fairy', 200)]
Bug:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 50), ('Poison', 100), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Grass/Water:[('Normal', 100), ('Fire', 100), ('Water', 25), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 200), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 200), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Normal/Flying:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 200), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 100), ('Ground', 0), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 0), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Fighting/Dragon:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 200), ('Dark', 50), ('Steel', 100), ('Fairy', 400)]
Water/Electric:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 100), ('Grass', 200), ('Ice', 50), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 25), ('Fairy', 100)]
Dark/Fighting:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 0), ('Bug', 100), ('Rock', 50), ('Ghost', 50), ('Dragon', 100), ('Dark', 25), ('Steel', 100), ('Fairy', 400)]
Flying/Ghost:[('Normal', 0), ('Fire', 100), ('Water', 100), ('Electric', 200), ('Grass', 50), ('Ice', 200), ('Fighting', 0), ('Poison', 50), ('Ground', 0), ('Flying', 100), ('Psychic', 100), ('Bug', 25), ('Rock', 200), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Electric/Poison:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 50), ('Grass', 50), ('Ice', 100), ('Fighting', 50), ('Poison', 50), ('Ground', 400), ('Flying', 50), ('Psychic', 200), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 50)]
Fire/Rock:[('Normal', 50), ('Fire', 25), ('Water', 400), ('Electric', 100), ('Grass', 100), ('Ice', 50), ('Fighting', 200), ('Poison', 50), ('Ground', 400), ('Flying', 50), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Water/Steel:[('Normal', 50), ('Fire', 100), ('Water', 50), ('Electric', 200), ('Grass', 100), ('Ice', 25), ('Fighting', 200), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 25), ('Fairy', 50)]
Fairy/Psychic:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 25), ('Poison', 200), ('Ground', 100), ('Flying', 100), ('Psychic', 50), ('Bug', 100), ('Rock', 100), ('Ghost', 200), ('Dragon', 0), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Fairy/Ghost:[('Normal', 0), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 0), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 25), ('Rock', 100), ('Ghost', 200), ('Dragon', 0), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Electric/Rock:[('Normal', 50), ('Fire', 50), ('Water', 200), ('Electric', 50), ('Grass', 200), ('Ice', 100), ('Fighting', 200), ('Poison', 50), ('Ground', 400), ('Flying', 25), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Poison/Ice:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 100), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 200), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 50)]
Flying/Dark:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 200), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 100), ('Ground', 0), ('Flying', 100), ('Psychic', 0), ('Bug', 100), ('Rock', 200), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Fairy/Poison:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 25), ('Poison', 100), ('Ground', 200), ('Flying', 100), ('Psychic', 200), ('Bug', 25), ('Rock', 100), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 200), ('Fairy', 50)]
Grass/Dragon:[('Normal', 100), ('Fire', 100), ('Water', 25), ('Electric', 25), ('Grass', 25), ('Ice', 400), ('Fighting', 100), ('Poison', 200), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 200), ('Rock', 100), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 100), ('Fairy', 200)]
Dragon/Fire:[('Normal', 100), ('Fire', 25), ('Water', 100), ('Electric', 50), ('Grass', 25), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Bug/Ground:[('Normal', 100), ('Fire', 200), ('Water', 200), ('Electric', 0), ('Grass', 100), ('Ice', 200), ('Fighting', 50), ('Poison', 50), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Dark/Grass:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 200), ('Poison', 200), ('Ground', 50), ('Flying', 200), ('Psychic', 0), ('Bug', 400), ('Rock', 100), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Dragon/Fighting:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 200), ('Dark', 50), ('Steel', 100), ('Fairy', 400)]
Poison:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 50), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 200), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Fairy/Ice:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 50), ('Fighting', 100), ('Poison', 200), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 400), ('Fairy', 100)]
Dragon/Poison:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 25), ('Ice', 200), ('Fighting', 50), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 200), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Normal/Water:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 200), ('Grass', 200), ('Ice', 50), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 0), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Bug/Ice:[('Normal', 100), ('Fire', 400), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 100), ('Poison', 100), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 400), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Grass:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 200), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 200), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Rock/Dragon:[('Normal', 50), ('Fire', 25), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 200), ('Fighting', 200), ('Poison', 50), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 200), ('Fairy', 200)]
Poison/Dragon:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 25), ('Ice', 200), ('Fighting', 50), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 200), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Ghost/Flying:[('Normal', 0), ('Fire', 100), ('Water', 100), ('Electric', 200), ('Grass', 50), ('Ice', 200), ('Fighting', 0), ('Poison', 50), ('Ground', 0), ('Flying', 100), ('Psychic', 100), ('Bug', 25), ('Rock', 200), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Poison/Flying:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 200), ('Grass', 25), ('Ice', 200), ('Fighting', 25), ('Poison', 50), ('Ground', 0), ('Flying', 100), ('Psychic', 200), ('Bug', 25), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Rock/Poison:[('Normal', 50), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 25), ('Ground', 400), ('Flying', 50), ('Psychic', 200), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 50)]
Bug/Water:[('Normal', 100), ('Fire', 100), ('Water', 50), ('Electric', 200), ('Grass', 100), ('Ice', 50), ('Fighting', 50), ('Poison', 100), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Dark/Fairy:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 200), ('Ground', 100), ('Flying', 100), ('Psychic', 0), ('Bug', 100), ('Rock', 100), ('Ghost', 50), ('Dragon', 0), ('Dark', 25), ('Steel', 200), ('Fairy', 200)]
Ground/Normal:[('Normal', 100), ('Fire', 100), ('Water', 200), ('Electric', 0), ('Grass', 200), ('Ice', 200), ('Fighting', 200), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 50), ('Ghost', 0), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Fighting/Dark:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 0), ('Bug', 100), ('Rock', 50), ('Ghost', 50), ('Dragon', 100), ('Dark', 25), ('Steel', 100), ('Fairy', 400)]
Fire/Ghost:[('Normal', 0), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 0), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 25), ('Rock', 200), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 50), ('Fairy', 50)]
Psychic/Fairy:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 25), ('Poison', 200), ('Ground', 100), ('Flying', 100), ('Psychic', 50), ('Bug', 100), ('Rock', 100), ('Ghost', 200), ('Dragon', 0), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Ghost/Electric:[('Normal', 0), ('Fire', 100), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 100), ('Fighting', 0), ('Poison', 50), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 50), ('Fairy', 100)]
Steel/Ice:[('Normal', 50), ('Fire', 400), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 25), ('Fighting', 400), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Bug/Dragon:[('Normal', 100), ('Fire', 100), ('Water', 50), ('Electric', 50), ('Grass', 25), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 100), ('Fairy', 200)]
Fighting/Fairy:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 50), ('Poison', 200), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 25), ('Rock', 50), ('Ghost', 100), ('Dragon', 0), ('Dark', 25), ('Steel', 200), ('Fairy', 200)]
Fighting:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Ground/Grass:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 0), ('Grass', 100), ('Ice', 400), ('Fighting', 100), ('Poison', 100), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 200), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Fighting/Bug:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 50), ('Poison', 100), ('Ground', 50), ('Flying', 400), ('Psychic', 200), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Ice/Poison:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 100), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 200), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 50)]
Ground/Electric:[('Normal', 100), ('Fire', 100), ('Water', 200), ('Electric', 0), ('Grass', 200), ('Ice', 200), ('Fighting', 100), ('Poison', 50), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Ghost/Dragon:[('Normal', 0), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 0), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 200), ('Dragon', 200), ('Dark', 200), ('Steel', 100), ('Fairy', 200)]
Electric:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Ice:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 50), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Dark/Flying:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 200), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 100), ('Ground', 0), ('Flying', 100), ('Psychic', 0), ('Bug', 100), ('Rock', 200), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Poison/Rock:[('Normal', 50), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 25), ('Ground', 400), ('Flying', 50), ('Psychic', 200), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 50)]
